"Case_Type","Cases","Difference","Date","Province_State","Admin2","Lat","Long"
"Confirmed",110,39,2020-03-29,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",110,0,2020-03-30,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",181,71,2020-03-31,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",181,0,2020-04-01,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",212,31,2020-04-02,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",260,48,2020-04-03,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",294,34,2020-04-04,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",354,60,2020-04-05,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",367,13,2020-04-06,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",388,21,2020-04-07,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",417,29,2020-04-08,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",417,0,2020-04-09,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",475,58,2020-04-10,"Colorado","Adams",39.87432092,-104.3362578
"Confirmed",0,0,2020-01-22,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-23,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-24,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-25,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-26,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-27,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-28,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-29,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-30,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-01-31,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-01,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-02,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-03,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-04,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-05,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-06,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-07,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-08,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-09,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-10,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-11,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-12,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-13,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-14,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-15,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-16,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-17,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-18,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-19,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-20,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-21,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-22,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-23,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-24,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-25,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-26,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-27,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-28,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-02-29,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-01,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-02,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-03,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-04,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-05,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-06,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-07,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-08,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-09,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-10,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-11,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-12,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-13,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-14,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-15,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-16,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-17,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-18,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-19,"Colorado","Alamosa",37.57250606,-105.7885451
"Confirmed",0,0,2020-03-20,"Colorado","Alamosa",37.57250606,-105.7885451
